year_added,type,country,total_count
2019,TV Show, West Germany,1
2019,TV Show,Argentina,10
2019,TV Show,Australia,17
2019,TV Show,Belgium,3
2019,TV Show,Brazil,10
2019,TV Show,Canada,26
2019,TV Show,China,14
2019,TV Show,Colombia,7
2019,TV Show,Croatia,1
2019,TV Show,Cyprus,1
2019,TV Show,Denmark,5
2019,TV Show,Egypt,7
2019,TV Show,Finland,2
2019,TV Show,France,23
2019,TV Show,Germany,4
2019,TV Show,Hong Kong,1
2019,TV Show,India,20
2019,TV Show,Ireland,2
2019,TV Show,Israel,2
2019,TV Show,Italy,5
2019,TV Show,Japan,53
2019,TV Show,Lebanon,5
2019,TV Show,Malaysia,3
2019,TV Show,Mauritius,1
2019,TV Show,Mexico,17
2019,TV Show,Netherlands,2
2019,TV Show,New Zealand,1
2019,TV Show,Norway,2
2019,TV Show,Pakistan,1
2019,TV Show,Poland,2
2019,TV Show,Russia,2
2019,TV Show,Singapore,1
2019,TV Show,South Korea,50
2019,TV Show,Spain,23
2019,TV Show,Sweden,2
2019,TV Show,Taiwan,18
2019,TV Show,Thailand,9
2019,TV Show,Turkey,7
2019,TV Show,United Arab Emirates,1
2019,TV Show,United Kingdom,70
2019,TV Show,United States,373
2020,Movie, Australia,2
2020,Movie, Canada,9
2020,Movie, East Germany,1
2020,Movie, France,7
2020,Movie, Germany,10
2020,Movie, Hong Kong,1
2020,Movie, India,2
2020,Movie, Italy,2
2020,Movie, Japan,4
2020,Movie, Malaysia,1
2020,Movie, Mexico,2
2020,Movie, Singapore,1
2020,Movie, South Korea,2
2020,Movie, Spain,1
2020,Movie, Taiwan,1
2020,Movie, United Kingdom,12
2020,Movie, United States,15
2020,Movie, West Germany,1
2020,Movie,Australia,1
2020,Movie,Austria,1
2020,Movie,Brazil,1
2020,Movie,Canada,1
2020,Movie,Germany,3
2020,Movie,India,6
2020,Movie,Indonesia,2
2020,Movie,Japan,1
2020,Movie,Mexico,3
2020,Movie,New Zealand,2
2020,Movie,Poland,1
2020,Movie,South Africa,1
2020,Movie,South Korea,1
2020,Movie,Spain,2
2020,Movie,United Kingdom,12
2020,Movie,United States,109
2020,TV Show, Canada,1
2020,TV Show, Germany,1
2020,TV Show, Italy,1
2020,TV Show,Belgium,1
2020,TV Show,Canada,3
2020,TV Show,China,1
2020,TV Show,France,1
2020,TV Show,India,1
2020,TV Show,Japan,4
2020,TV Show,Netherlands,1
2020,TV Show,Russia,1
2020,TV Show,South Korea,1
2020,TV Show,United Kingdom,2
2020,TV Show,United States,21
